food_name,calories,protein,carbohydrates,fat,fiber,sugar,sodium,calcium,iron,potassium,nutrition_density,meal_type,food_preference,cuisine,allergens,serving_size
Marjoram Dried,5,0.2,1.0,0.1,0.7,0.077,0.004,0.047,0.029,5.2,2.032,Lunch,Vegetarian,International,None,100 g
Marshmallow,64,0.4,16.3,0.033,0.013,11.5,0.039,0.6,0.038,1.0,17.445,Lunch,Vegetarian,International,None,100 g
Mashed Potato With Milk And Butter,237,3.9,35.3,8.9,3.2,3.0,0.7,50.4,0.5,596.4,114.854,Breakfast,Vegetarian,International,Milk,100 g
Mashed Potatoes,215,4.0,35.5,6.8,3.1,1.2,0.7,43.6,0.8,692.1,93.836,Lunch,Vegetarian,International,None,100 g
Matzo Crackers,111,2.8,23.4,0.4,0.8,0.098,0.0,3.6,0.9,31.4,31.9,Lunch,Vegetarian,International,None,100 g
Matzo Crackers Whole Wheat,98,3.7,22.1,0.4,3.3,0.0,0.002,6.4,1.3,88.5,37.2,Lunch,Vegetarian,International,Gluten,100 g
Matzo Crackers With Egg,109,3.4,22.0,0.6,0.8,0.0,0.057,11.2,0.8,42.0,38.972,Breakfast,Non-Vegetarian,International,Egg,100 g
Matzo Crackers With Egg Onion,109,2.8,21.6,1.1,1.4,0.0,0.052,10.1,1.2,23.2,38.316,Breakfast,Non-Vegetarian,International,Egg,100 g
Mayonnaise Dressing,103,0.0,0.066,11.7,0.0,0.093,0.081,1.1,0.0,2.1,12.917,Lunch,Vegetarian,International,None,100 g
Mayonnaise Hellmanns,15,0.0,0.087,1.7,0.0,0.2,0.0,0.0,0.0,0.0,1.737,Lunch,Vegetarian,International,None,100 g
Mayonnaise Imitation Fat Free,13,0.043,2.5,0.4,0.3,1.6,0.1,1.0,0.008,7.8,4.313,Lunch,Vegetarian,International,None,100 g
Mayonnaise Light,36,0.032,1.4,3.3,0.0,0.5,0.1,0.05,0.039,2.3,4.966,Lunch,Vegetarian,International,None,100 g
Mcchicken Mcdonalds,358,13.7,36.6,17.3,1.7,4.7,0.8,0.0,0.1,182.1,69.5,Lunch,Vegetarian,International,None,100 g
Meat Extender,275,33.5,33.7,2.6,15.4,0.0,0.041,179.5,10.6,1673.8,275.3,Lunch,Vegetarian,International,None,100 g
Meat Ravioli Canned,259,8.9,36.0,8.9,4.2,6.3,0.9,34.1,2.8,442.8,94.963,Lunch,Vegetarian,International,None,100 g
Meat Vegetable Pizza,332,15.0,34.5,14.8,3.0,5.1,0.8,163.2,2.5,250.2,233.148,Lunch,Vegetarian,International,None,100 g
Meatless Chicken,376,39.7,6.1,21.4,6.0,0.0,1.2,58.8,5.5,90.7,137.5,Lunch,Non-Vegetarian,International,None,100 g
Meatless Chicken Fried,304,27.7,11.1,16.6,5.6,0.0,0.5,54.6,5.0,390.0,120.6,Lunch,Non-Vegetarian,International,None,100 g
Meatless Meatballs,284,30.2,11.5,13.0,6.6,1.8,0.8,36.0,3.1,259.2,100.4,Lunch,Vegetarian,International,None,100 g
Meatless Meatloaf,110,11.8,4.5,5.0,2.6,0.7,0.3,16.2,1.2,100.8,41.3,Lunch,Vegetarian,International,None,100 g
Melba Toast Crackers,117,3.6,23.0,1.0,1.9,0.3,0.2,27.9,1.1,60.6,58.5,Lunch,Vegetarian,International,None,100 g
Melon Balls,57,1.5,13.7,0.4,1.2,0.0,0.022,17.3,0.5,484.4,45.3,Lunch,Vegetarian,International,None,100 g
Menhaden Fish Oil,1966,0.0,0.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,Lunch,Non-Vegetarian,International,None,100 g
Merlot Red Wine,122,0.1,3.7,0.0,0.0,0.9,0.011,11.8,0.7,186.7,16.3,Lunch,Vegetarian,International,None,100 g
Mexican Cheese,316,27.7,3.8,21.7,0.0,0.6,0.9,1283.5,0.1,104.2,1337.0,Breakfast,Vegetarian,International,Milk,100 g
Microwave Popcorn,465,7.3,49.8,26.3,8.7,0.3,0.6,0.052,0.2,239.3,93.352,Lunch,Vegetarian,International,None,100 g
Milk Cereal Bar,103,1.6,18.0,2.7,0.1,11.5,0.087,102.5,1.5,63.5,130.334,Breakfast,Vegetarian,International,Milk,100 g
Milk Chocolate,37,0.5,4.2,2.1,0.2,3.6,0.045,13.2,0.2,26.0,20.464,Breakfast,Vegetarian,International,Milk,100 g
Milk Chocolate With Almonds,216,3.7,21.9,14.1,2.5,18.0,0.051,91.8,0.7,182.0,134.811,Breakfast,Vegetarian,International,"Milk, Tree Nuts",100 g
Milk Chocolate With Rice Cereal,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Breakfast,Vegetarian,International,Milk,100 g
Milk Crackers,50,0.8,7.7,1.7,0.2,1.8,0.095,18.9,0.4,12.5,29.845,Breakfast,Vegetarian,International,Milk,100 g
Milkfish Cooked,54,7.4,0.0,2.4,0.0,0.0,0.076,18.4,0.1,105.8,28.341,Breakfast,Vegetarian,International,Milk,100 g
Milkfish Raw,42,5.8,0.0,1.9,0.0,0.0,0.098,14.4,0.057,82.6,22.203,Breakfast,Vegetarian,International,Milk,100 g
Milky Way Mars,264,2.3,41.3,10.0,0.6,34.6,0.021,0.038,0.047,38.9,54.438,Breakfast,Vegetarian,International,Milk,100 g
Millet Cooked,207,6.1,41.2,1.7,2.3,0.2,0.046,5.2,1.1,107.9,57.6,Lunch,Vegetarian,International,None,100 g
Millet Flour,444,12.8,86.9,5.1,4.2,2.0,0.056,16.7,4.7,266.6,130.4,Lunch,Vegetarian,International,None,100 g
Millet Puffed,74,2.7,16.8,0.7,0.6,0.1,0.076,1.7,0.6,8.4,23.1,Lunch,Vegetarian,International,None,100 g
Millet Raw,756,22.0,145.7,8.4,17.0,0.0,0.013,16.0,6.0,390.0,215.1,Lunch,Vegetarian,International,None,100 g
Mince Pie,477,4.3,79.2,17.8,4.3,46.7,0.4,36.3,2.5,335.0,154.1,Lunch,Vegetarian,International,None,100 g
Minced Ham,55,3.4,0.4,4.3,0.0,0.0,0.3,2.1,0.2,65.3,10.4,Lunch,Vegetarian,International,None,100 g
Minestrone Soup,167,8.6,22.6,5.0,2.0,3.7,1.3,68.9,1.8,627.3,111.1,Lunch,Vegetarian,International,None,100 g
Miso,40,2.6,5.1,1.2,1.1,1.2,0.7,0.094,0.046,31.8,10.193,Lunch,Vegetarian,International,None,100 g
Mixed Nuts Roasted,178,5.2,7.6,15.4,2.7,1.4,0.1,21.0,1.1,207.9,53.1,Lunch,Vegetarian,International,None,100 g
Mixed Vegetables Canned,88,3.5,17.5,0.6,9.3,0.0,0.5,0.0,0.3,90.7,31.4,Lunch,Vegetarian,International,None,100 g
Mixed Vegetables Cooked,118,5.2,23.8,0.3,8.0,5.7,0.089,0.083,0.2,92.8,37.698,Lunch,Vegetarian,International,None,100 g
Mock Tender Steak Cooked,137,21.9,0.0,4.9,0.0,0.0,0.028,6.8,2.6,249.1,36.2,Lunch,Vegetarian,International,None,100 g
Mock Tender Steak Raw,244,42.2,0.0,8.3,0.0,0.0,0.2,21.8,4.8,685.1,77.128,Lunch,Vegetarian,International,None,100 g
Molasses,58,0.0,14.9,0.068,0.0,14.9,0.007,41.0,0.9,292.8,56.848,Lunch,Vegetarian,International,None,100 g
Monkfish Cooked,27,5.3,0.0,0.6,0.0,0.0,0.004,2.8,0.1,145.2,9.165,Lunch,Vegetarian,International,None,100 g
Monkfish Raw,22,4.1,0.0,0.4,0.0,0.0,0.059,2.3,0.059,113.2,7.21,Lunch,Vegetarian,International,None,100 g
Monterey Cheese,421,27.7,0.8,34.2,0.0,0.6,0.7,843.0,0.8,91.5,906.7,Breakfast,Vegetarian,International,Milk,100 g
Monterey Cheese Low Fat,350,31.9,0.8,24.4,0.0,0.6,0.6,796.7,0.8,91.5,854.8,Breakfast,Vegetarian,International,Milk,100 g
Morel Mushrooms,4,0.4,0.7,0.07,0.4,0.096,0.08,0.0,0.056,25.0,1.727,Lunch,Vegetarian,International,None,100 g
Mortadella,47,2.5,0.5,3.8,0.0,0.0,0.2,2.7,0.2,24.5,9.7,Lunch,Vegetarian,International,None,100 g
Mothbeans Cooked,207,13.8,37.1,1.0,0.0,0.0,0.086,5.3,5.6,538.1,64.6,Lunch,Vegetarian,International,None,100 g
Mothbeans Raw,672,45.0,120.6,3.2,0.0,0.0,0.001,294.0,21.3,2334.4,491.9,Lunch,Vegetarian,International,None,100 g
Mountain Yam Cooked,119,2.5,29.0,0.1,0.0,0.0,0.4,11.6,0.6,717.8,43.8,Lunch,Vegetarian,International,None,100 g
Mountain Yam Raw,91,1.8,22.2,0.1,3.4,0.4,0.021,35.4,0.6,568.5,67.0,Lunch,Vegetarian,International,None,100 g
Mouvedre Red Wine,129,0.1,3.9,0.0,16.5,0.0,0.0,0.0,0.0,0.0,146.6,Lunch,Vegetarian,International,None,100 g
Mozzarella Cheese,90,6.7,0.7,6.6,0.0,0.0,0.1,151.5,0.1,22.8,165.648,Breakfast,Vegetarian,International,Milk,100 g
Mozzarella Cheese Fat Free,159,35.8,4.0,0.0,2.0,1.7,0.8,1085.9,0.4,119.8,1128.2,Breakfast,Vegetarian,International,Milk,100 g
Mozzarella Steak Fried,102,4.6,7.7,5.9,0.6,0.7,0.2,107.9,0.2,35.7,126.963,Lunch,Vegetarian,International,None,100 g
Muenster Cheese,486,30.9,1.5,39.7,0.0,1.5,0.8,946.4,0.5,176.9,1019.4,Breakfast,Vegetarian,International,Milk,100 g
Muesli Master Crumble,124,2.4,4.5,2.4,0.0,0.042,0.0,0.0,0.0,0.0,9.3,Lunch,Vegetarian,International,None,100 g
Muesli With Fruit Nuts,231,4.3,45.7,3.4,5.8,14.2,0.1,25.8,5.9,229.2,91.1,Lunch,Vegetarian,International,None,100 g
Muffin,169,3.9,23.6,6.5,1.5,0.0,0.3,114.0,1.4,69.0,151.166,Lunch,Vegetarian,International,None,100 g
Mulberries,6,0.2,1.5,0.049,0.3,1.2,0.021,0.074,0.041,5.7,2.163,Lunch,Vegetarian,International,None,100 g
Muller Thurgau White Wine,112,0.1,5.2,0.0,13.3,0.0,0.0,0.0,0.0,0.0,147.8,Lunch,Vegetarian,International,None,100 g
Mullet Cooked,140,23.1,0.0,4.5,0.0,0.0,0.001,28.8,1.3,425.9,58.866,Lunch,Vegetarian,International,None,100 g
Mullet Raw,139,23.0,0.0,4.5,0.0,0.0,0.098,48.8,1.2,424.8,78.949,Lunch,Vegetarian,International,None,100 g
Multigrain Cheerios General Mills,4,0.038,1.0,0.005,0.1,0.2,0.0,0.0,0.0,0.0,1.248,Lunch,Vegetarian,International,None,100 g
Mung Bean Sprouts Cooked,24,2.5,4.5,0.1,1.0,3.5,0.3,14.9,0.8,125.2,37.9,Lunch,Vegetarian,International,None,100 g
Mung Bean Sprouts Raw,6,0.6,1.2,0.044,0.4,0.8,0.08,0.069,0.072,10.8,2.418,Lunch,Vegetarian,International,None,100 g
Mung Beans Cooked,212,14.2,38.7,0.8,15.4,4.0,0.083,0.005,0.3,200.0,69.586,Lunch,Vegetarian,International,None,100 g
Mung Beans Raw,718,49.4,129.6,2.4,33.7,13.7,0.085,273.2,14.0,2579.2,512.2,Lunch,Vegetarian,International,None,100 g
Mungo Beans Cooked,189,13.6,33.0,1.0,11.5,3.6,0.083,95.4,3.2,415.8,159.5,Lunch,Vegetarian,International,None,100 g
Mungo Beans Raw,706,52.2,122.1,3.4,37.9,0.0,0.004,285.7,15.7,2034.8,517.0,Lunch,Vegetarian,International,None,100 g
Muscadine Grapes,3,0.014,0.8,0.056,0.2,0.0,0.024,2.2,0.014,12.2,3.38,Snack,Vegetarian,International,None,100 g
Muscat White Wine,123,0.1,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,Lunch,Vegetarian,International,None,100 g
Mushroom Barley Soup,186,4.6,29.3,5.5,0.0,0.0,1.7,30.5,1.2,231.8,71.1,Lunch,Vegetarian,International,None,100 g
Mushroom Gravy,119,3.0,13.0,6.4,1.0,0.0,1.4,16.7,1.6,252.3,41.7,Lunch,Vegetarian,International,None,100 g
Mushrooms Cooked,44,3.4,8.3,0.7,3.4,3.7,0.011,0.0,0.8,135.7,16.7,Lunch,Vegetarian,International,None,100 g
Mushrooms Raw,15,2.2,2.3,0.2,0.7,1.4,0.053,2.1,0.4,222.6,9.4,Lunch,Vegetarian,International,None,100 g
Mustard,3,0.2,0.3,0.2,0.2,0.048,0.015,0.012,0.086,5.4,1.046,Lunch,Vegetarian,International,None,100 g
Mustard Cabbage,36,1.4,7.2,0.1,4.0,1.8,0.9,0.1,0.077,34.6,13.276,Lunch,Vegetarian,International,None,100 g
Mustard Greens Cooked,36,3.6,6.3,0.7,2.8,2.0,0.4,165.2,1.2,226.8,215.2,Lunch,Vegetarian,International,None,100 g
Mustard Greens Raw,15,1.6,2.6,0.2,1.8,0.7,0.004,64.4,0.9,215.0,110.7,Lunch,Vegetarian,International,None,100 g
Mustard Oil,124,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,Lunch,Vegetarian,International,None,100 g
Mustard Seeds Ground,10,0.5,0.6,0.7,0.2,0.1,0.017,5.3,0.2,14.8,7.6,Lunch,Vegetarian,International,None,100 g
Mustard Spinach Cooked,29,3.1,5.0,0.4,3.6,0.0,0.5,284.4,1.4,513.0,414.9,Lunch,Vegetarian,International,None,100 g
Mustard Spinach Raw,33,3.3,5.9,0.5,4.2,0.0,0.025,315.0,2.3,673.5,526.2,Lunch,Vegetarian,International,None,100 g
Mutton Cooked,66,9.5,0.027,3.1,0.0,0.0,0.07,2.8,1.3,115.7,16.744,Lunch,Non-Vegetarian,International,None,100 g
Mutton Tallow,45,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Lunch,Non-Vegetarian,International,None,100 g
Nacho Cheese Tortilla Chips,156,2.2,18.2,8.2,1.5,0.8,0.2,0.002,0.071,75.6,30.369,Breakfast,Vegetarian,International,Milk,100 g
Nacho Cheese Tortilla Chips Low Fat,90,2.4,18.5,1.0,1.8,0.8,0.2,36.2,1.4,112.1,62.9,Breakfast,Vegetarian,International,Milk,100 g
Nachos Supreme Taco Bell,480,14.8,45.0,26.6,8.0,0.0,0.8,142.4,4.2,471.9,241.0,Lunch,Vegetarian,International,None,100 g
Nachos Taco Bell,362,5.1,36.0,21.9,3.8,0.0,0.5,88.1,1.1,180.2,156.0,Lunch,Vegetarian,International,None,100 g
Nachos With Cheese,274,3.5,27.9,17.2,2.6,1.7,0.3,0.05,0.029,158.4,51.581,Breakfast,Vegetarian,International,Milk,100 g
Nachos With Cheese Jalapeno Peppers,608,16.8,60.1,34.1,0.0,0.0,1.7,620.2,2.4,293.8,735.0,Breakfast,Vegetarian,International,Milk,100 g
Nachos With Cinnamon Sugar,592,7.2,63.4,36.0,0.0,0.0,0.4,85.0,2.9,78.5,202.5,Lunch,Vegetarian,International,None,100 g
Nance,82,0.7,19.0,1.3,8.4,9.3,0.039,0.078,0.037,11.2,29.436,Lunch,Vegetarian,International,None,100 g
Nance Syrup,4,0.028,0.8,0.002,0.3,0.6,0.035,1.6,0.013,7.2,3.227,Lunch,Vegetarian,International,None,100 g
Napa Cabbage Cooked,13,1.2,2.4,0.2,0.0,0.0,0.012,31.6,0.8,94.8,39.7,Lunch,Vegetarian,International,None,100 g
Naranjilla Lulo Pulp,30,0.5,7.1,0.3,1.3,4.5,0.044,9.6,0.4,240.0,23.0,Lunch,Vegetarian,International,None,100 g
Natto,169,14.2,11.5,8.8,4.3,3.9,0.026,0.085,0.5,139.2,39.429,Lunch,Vegetarian,International,None,100 g
Navy Bean Sprouts Raw,70,6.4,13.6,0.7,0.0,0.0,0.063,15.6,2.0,319.3,57.9,Lunch,Vegetarian,International,None,100 g
Navy Beans Canned,296,19.7,53.6,1.1,13.4,0.7,1.2,123.1,4.8,754.6,217.5,Lunch,Vegetarian,International,None,100 g
Navy Beans Cooked,255,15.0,47.4,1.1,19.1,0.7,0.4,125.6,4.3,708.0,212.5,Lunch,Vegetarian,International,None,100 g
Navy Beans Raw,701,46.4,126.4,3.1,50.8,8.1,0.059,305.8,11.4,2464.8,543.9,Lunch,Vegetarian,International,None,100 g
Nectarine,66,1.6,15.8,0.5,2.6,11.8,0.0,0.081,0.1,39.0,20.735,Lunch,Vegetarian,International,None,100 g
Nesfit Diet Cereal Nestle,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Breakfast,Vegetarian,International,None,100 g
Neufchatel Cheese,215,7.8,3.1,19.4,0.0,2.7,0.3,99.5,0.1,129.2,130.1,Breakfast,Vegetarian,International,Milk,100 g
New Zealand Spinach Cooked,22,2.3,3.8,0.3,2.5,0.5,0.6,86.4,1.2,183.6,125.3,Lunch,Vegetarian,International,None,100 g
New Zealand Spinach Raw,8,0.8,1.4,0.1,0.8,0.2,0.017,32.5,0.4,72.8,52.8,Lunch,Vegetarian,International,None,100 g
Non Alcoholic Wine,2,0.1,0.3,0.0,0.0,0.3,0.095,2.7,0.1,26.0,3.2,Lunch,Vegetarian,International,None,100 g
Nopales Cooked,22,2.0,4.9,0.003,3.0,1.7,0.087,244.4,0.7,290.6,262.963,Lunch,Vegetarian,International,None,100 g
Nopales Raw,14,1.1,2.9,0.063,1.9,1.0,0.076,141.0,0.5,221.0,155.484,Lunch,Vegetarian,International,None,100 g
Northern Pike Cooked,350,76.5,0.0,2.7,0.0,0.0,0.2,226.3,2.2,1026.1,319.506,Lunch,Vegetarian,International,None,100 g
Northern Pike Raw,348,76.3,0.0,2.7,0.0,0.0,0.2,225.7,2.2,1025.6,321.946,Lunch,Vegetarian,International,None,100 g
Nougat With Almonds,56,0.5,12.9,0.2,0.5,11.7,0.061,4.5,0.082,14.7,18.658,Snack,Vegetarian,International,Tree Nuts,100 g
Nut Cereal,245,4.0,46.2,5.9,3.6,17.2,0.3,75.6,10.3,134.4,156.5,Breakfast,Vegetarian,International,None,100 g
Nutmeg Butter Oil,1927,0.0,0.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,Breakfast,Vegetarian,International,Milk,100 g
Nutmeg Ground,12,0.1,1.1,0.8,0.5,0.6,0.095,4.0,0.018,7.7,6.656,Lunch,Vegetarian,International,None,100 g
Oat Bran Bagel,176,7.4,36.8,0.8,2.5,1.1,0.4,8.3,2.1,79.4,58.051,Lunch,Vegetarian,International,None,100 g
Oat Bran Bread,71,3.1,11.9,1.3,1.4,2.3,0.1,19.5,0.9,44.1,38.121,Breakfast,Vegetarian,International,Gluten,100 g
Oat Bran Bread Toasted,70,3.1,11.8,1.3,1.3,2.3,0.1,19.2,0.9,33.2,37.631,Breakfast,Vegetarian,International,Gluten,100 g
Oat Bran Cooked,88,7.0,25.1,1.9,5.7,0.0,0.082,21.9,1.9,201.5,63.5,Lunch,Vegetarian,International,None,100 g
Oat Bran Dinner Roll,78,3.1,13.3,1.5,1.4,2.2,0.1,28.1,1.4,39.9,48.8,Lunch,Vegetarian,International,None,100 g
Oat Bran Muffin,46,1.2,8.2,1.3,0.8,1.4,0.067,10.7,0.7,86.2,22.9,Lunch,Vegetarian,International,None,100 g
Oat Bran Raw,23,1.3,4.9,0.5,1.2,0.1,0.036,18.0,40.0,0.0,65.9,Lunch,Vegetarian,International,None,100 g
Oatmeal Bread,73,2.3,13.1,1.2,1.1,2.2,0.1,17.8,0.7,38.3,36.227,Breakfast,Vegetarian,International,Gluten,100 g
Oatmeal Bread Toasted,73,2.3,13.2,1.2,1.1,2.2,0.1,18.0,0.7,38.5,36.622,Breakfast,Vegetarian,International,Gluten,100 g
Oatmeal Cookies,113,1.6,17.2,4.5,0.7,6.2,0.1,9.3,0.6,35.5,34.069,Lunch,Vegetarian,International,None,100 g
Oatmeal Cookies With Raisins,65,1.0,10.3,2.4,0.0,0.0,0.022,15.0,0.4,35.9,29.198,Lunch,Vegetarian,International,None,100 g
Oats,39,1.7,6.6,0.7,1.1,0.0,0.074,5.4,0.5,42.9,16.0,Breakfast,Vegetarian,International,None,100 g
Ocean Perch Cooked,48,9.3,0.0,0.9,0.0,0.0,0.2,0.069,0.073,150.0,10.368,Lunch,Vegetarian,International,None,100 g
Ocean Perch Raw,51,9.8,0.0,1.0,0.0,0.0,0.2,17.9,0.1,119.7,28.835,Lunch,Vegetarian,International,None,100 g
Octopus Cooked,139,25.3,3.7,1.8,0.0,0.0,0.4,90.1,8.1,535.5,135.853,Lunch,Vegetarian,International,None,100 g
Octopus Raw,23,4.2,0.6,0.3,0.0,0.0,0.064,15.0,1.5,99.1,23.044,Lunch,Vegetarian,International,None,100 g
Ohelo Berries,39,0.5,9.6,0.3,0.0,0.0,0.068,9.8,0.1,53.2,28.7,Lunch,Vegetarian,International,None,100 g
Okara,93,3.9,15.3,2.1,0.0,0.0,0.07,0.0,0.2,73.2,21.6,Lunch,Vegetarian,International,None,100 g
Okra,4,0.2,0.9,0.082,0.4,0.2,0.098,9.8,0.082,35.6,14.081,Lunch,Vegetarian,International,None,100 g
Okra Cooked,35,3.0,7.2,0.3,4.0,3.8,0.4,123.2,0.4,216.0,164.2,Lunch,Vegetarian,International,None,100 g
Olive Oil,119,0.0,0.0,13.5,0.0,0.0,0.004,0.1,0.092,0.1,13.618,Lunch,Vegetarian,International,None,100 g
Olives,10,0.09,0.5,0.9,0.1,0.0,0.001,7.4,0.5,0.7,9.479,Lunch,Vegetarian,International,None,100 g
Omelet,94,6.4,0.4,7.1,0.0,0.2,0.013,0.05,0.07,101.9,14.377,Lunch,Vegetarian,International,None,100 g
Onion Cooked,7,0.2,1.5,0.034,0.2,0.7,0.04,0.084,0.067,5.3,2.171,Lunch,Vegetarian,International,None,100 g
Onion Gravy Dry,77,2.2,16.2,0.7,1.4,0.0,1.0,67.2,0.2,62.9,89.6,Lunch,Vegetarian,International,None,100 g
Onion Powder,8,0.2,1.9,0.024,0.4,0.2,0.048,9.2,0.052,23.6,12.389,Lunch,Vegetarian,International,None,100 g
Onion Raw,16,0.4,3.7,0.048,0.7,1.7,0.065,0.08,0.011,11.6,4.955,Lunch,Vegetarian,International,None,100 g
Onion Rings Burger King,379,3.5,39.7,23.0,2.5,4.9,0.7,104.7,0.7,152.0,175.4,Lunch,Vegetarian,International,None,100 g
Onion Rings Fried,27,0.3,2.8,1.6,0.2,0.4,0.015,7.5,0.038,10.9,12.551,Lunch,Vegetarian,International,None,100 g
Onion Snacks,150,2.3,19.5,6.8,1.2,1.4,0.3,8.7,1.1,42.9,40.199,Lunch,Vegetarian,International,None,100 g
Onion Soup,113,7.5,16.4,3.5,1.7,6.7,1.3,54.1,1.4,137.8,87.173,Lunch,Vegetarian,International,None,100 g
Onions Canned,12,0.5,2.5,0.084,0.8,1.4,0.2,28.4,0.011,69.9,34.925,Lunch,Vegetarian,International,None,100 g
Orange,86,1.7,21.6,0.2,4.4,17.2,0.0,0.0,0.094,25.8,28.073,Snack,Vegetarian,International,None,100 g
Orange Apricot Juice,128,0.8,31.8,0.3,0.3,30.2,0.096,12.5,0.3,200.0,96.0,Snack,Vegetarian,International,None,100 g
Orange Grapefruit Juice,106,1.5,25.4,0.2,0.2,25.1,0.082,19.8,1.1,390.3,120.1,Snack,Vegetarian,International,None,100 g
Orange Juice,90,1.4,20.8,0.4,0.4,16.8,0.067,0.053,0.06,34.0,23.177,Snack,Vegetarian,International,None,100 g
Orange Juice Sainsburys,14,0.0,0.0,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.049,Snack,Vegetarian,International,None,100 g
Orange Marmalade,49,0.014,13.3,0.0,0.1,12.0,0.016,7.6,0.053,7.4,22.119,Snack,Vegetarian,International,None,100 g
Orange Peel,6,0.093,1.5,0.017,0.6,0.0,0.023,9.7,0.097,12.7,20.111,Snack,Vegetarian,International,None,100 g
Orange Pineapple Juice,15,0.1,3.6,0.08,0.032,3.1,0.044,2.4,0.086,44.3,18.261,Snack,Vegetarian,International,None,100 g
Orange Roughy Cooked,30,6.4,0.0,0.3,0.0,0.0,0.079,3.1,0.3,51.2,10.146,Snack,Vegetarian,International,None,100 g
Orange Roughy Raw,22,4.6,0.0,0.2,0.0,0.0,0.063,2.5,0.3,47.3,7.672,Snack,Vegetarian,International,None,100 g
Orange Tomato,18,1.3,3.5,0.2,1.0,0.0,0.001,0.0,0.079,32.2,6.093,Snack,Vegetarian,International,None,100 g
Orange With Peel,100,2.1,24.6,0.5,7.2,0.0,0.028,111.3,1.3,311.6,259.9,Snack,Vegetarian,International,None,100 g
Orangensaft Ja,86,0.0,1.4,0.0,0.0,0.024,0.0,0.0,0.0,0.0,1.4,Snack,Vegetarian,International,None,100 g
Oregano Dried,265,9.0,68.9,4.3,42.5,4.1,0.009,0.6,0.6,148.0,126.9,Lunch,Vegetarian,International,None,100 g
Oriental Radish Cooked,25,1.0,5.0,0.4,2.4,2.7,0.4,25.0,0.2,419.0,56.2,Lunch,Vegetarian,International,None,100 g
Oriental Radish Dried,314,9.2,73.5,0.8,27.7,43.3,0.3,729.6,7.8,4053.0,848.6,Lunch,Vegetarian,International,None,100 g
Oriental Radish Raw,61,2.0,13.9,0.3,5.4,8.5,0.014,91.3,1.4,767.3,188.7,Lunch,Vegetarian,International,None,100 g
Oriental Rice Cracker Mix,143,4.9,14.6,7.2,3.7,0.8,0.1,15.3,0.7,92.8,46.416,Lunch,Vegetarian,International,None,100 g
Original Chicken Sandwich Burger King,569,24.2,52.2,29.2,4.8,6.0,1.3,91.5,3.6,390.0,205.9,Lunch,Non-Vegetarian,International,None,100 g
Original Chicken Sandwich Chick Fil A,125,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,5.1,Lunch,Non-Vegetarian,International,None,100 g
Original Taco With Beef Cheese Lettuce Taco Bell,158,6.1,13.7,8.8,2.7,0.6,0.3,61.4,0.8,144.2,93.8,Breakfast,Non-Vegetarian,International,Milk,100 g
Ostrich Fan Raw,99,18.5,0.0,2.3,0.0,0.0,0.04,5.1,3.7,261.8,29.6,Lunch,Vegetarian,International,None,100 g
Ostrich Leg Cooked,120,24.7,0.0,1.6,0.0,0.0,0.016,5.1,2.7,299.2,34.1,Lunch,Vegetarian,International,None,100 g
Ostrich Leg Raw,94,19.0,0.0,1.5,0.0,0.0,0.067,4.3,2.0,272.0,26.8,Lunch,Vegetarian,International,None,100 g
Ostrich Round Raw,99,18.7,0.0,2.0,0.0,0.0,0.074,4.3,3.0,267.8,28.0,Lunch,Vegetarian,International,None,100 g
Ostrich Strip Cooked,139,25.0,0.0,3.6,0.0,0.0,0.034,4.3,4.1,311.1,37.0,Lunch,Vegetarian,International,None,100 g
Ostrich Strip Raw,108,20.1,0.0,2.4,0.0,0.0,0.086,4.3,3.6,280.5,30.4,Lunch,Vegetarian,International,None,100 g
Ostrich Tenderloin Raw,105,18.8,0.0,2.7,0.0,0.0,0.005,5.1,4.1,272.0,30.7,Lunch,Vegetarian,International,None,100 g
Ostrich Tip Cooked,123,24.2,0.0,2.2,0.0,0.0,0.086,5.1,2.4,307.7,33.9,Lunch,Vegetarian,International,None,100 g
Ostrich Tip Raw,97,18.6,0.0,2.0,0.0,0.0,0.041,4.3,2.4,263.5,27.3,Lunch,Vegetarian,International,None,100 g
Ostrich Top Loin Cooked,132,23.9,0.0,3.3,0.0,0.0,0.029,0.046,0.1,208.3,27.982,Lunch,Vegetarian,International,None,100 g
Ostrich Top Loin Raw,101,18.4,0.0,2.5,0.0,0.0,0.073,5.1,2.7,265.2,28.7,Lunch,Vegetarian,International,None,100 g
Oyster Cooked,41,4.7,2.5,1.2,0.0,0.0,0.066,4.0,2.3,75.5,17.971,Lunch,Vegetarian,International,None,100 g
Oyster Fried,61,2.1,6.7,3.0,0.0,0.0,0.1,4.6,0.7,30.4,17.861,Lunch,Vegetarian,International,None,100 g
